CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0718;5;3;5;3;3;9;3;5;4;1;1;5;0;5;3;3;5;1;1;1;2;1;1;2;7;5;3;0;3;3;1;5;100;11.24;3.4;3.30944796;15.54;3.046666667;31;79.56666667;6.20771849935347;4.13956685391969;3.08942794246391;6.2985834734129;35.1600915728412;22.6660787592978;23.8984413439543;48.3271448958192;1.96106142019607
BGM-0780-E;9;9;5;7;2;8;2;7;1;1;1;5;0;5;3;3;5;1;1;1;2;3;1;2;3;3;2;0;4;3;2;5;100;12.7;2.96;4.302448524;12.52;2.228333333;31.38888889;64.39055556;6.18753892481935;3.63304434124248;3.28203335815656;5.20445588209187;34.339410279597;18.5877657776272;14.0625059732393;54.1215958163286;1.83890116989866
BGM-0808;5;3;5;3;3;9;3;5;4;1;1;3;1;5;3;3;5;1;2;1;2;3;2;3;7;3;3;1;3;3;2;5;90;18.2;4.96;3.672938096;20.44;1.986666667;23.92916667;65.59083333;8.07691405262126;5.16984451744062;4.16927894238475;5.50728919447926;34.7497837511886;18.5532366986714;17.7303932383426;50.0926108034004;1.86669303825435
BGM-0814;3;7;3;5;1;3;4;5;4;3;1;5;1;5;3;3;5;1;1;1;2;3;1;2;7;5;2;1;3;3;1;5;90;11.64;3.94;2.951937022;19.7;1.97;20.75;53.9175;3.93121065263896;3.49358446440256;3.62900366928545;4.99388486159895;33.688726905019;16.6576476572901;21.4155117949381;40.2229318208711;1.93501998521332
BGM-0816;5;7;5;3;3;9;3;5;4;4;1;5;0;5;3;3;5;1;2;1;2;1;2;2;7;5;3;0;4;3;3;5;80;11.58;3.82;3.036652959;18.42;2.83;29.5;66.33166667;3.47022286098048;3.11693503576812;4.07739071284294;7.2176129811362;35.5548787678752;22.9900217663264;20.8616074028051;47.071255626761;1.92056853167267
BGM-0817;3;1;3;3;3;9;2;3;4;4;1;5;1;5;3;3;5;1;2;1;3;3;2;2;7;5;3;0;4;7;1;5;100;14.3;4.62;3.098214137;21.52;2.346666667;30.66666667;51.6;3.94861097044677;2.89060260233533;4.06176254428173;4.94164273110236;35.6205835409564;18.4254438129882;22.685729538437;41.6143942507794;1.92567680603134
BGM-0830;5;5;5;3;3;8;2;5;1;1;1;5;1;5;3;7;5;1;1;1;2;2;2;2;3;5;2;0;4;3;1;5;90;19.28;5.88;3.285380264;33.42;2.186666667;27.91666667;54.04833333;3.76742459360077;3.69948509877458;2.92683333692831;4.49143701343178;33.1721759817477;15.078518132753;16.8460654520831;47.3062903983337;1.94541955568368
BGM-0846;5;7;5;3;2;8;2;3;3;1;1;5;1;5;3;3;5;1;1;1;2;1;2;2;7;5;3;0;3;3;2;5;90;12.4;3.74;3.317325017;19.32;2.926666667;32.45833333;73.18666667;7.44194086264797;4.7015464773894;3.4199811871783;6.12836028994574;35.1620583268521;17.6655706349754;21.8798862333311;42.040228689686;1.87963214732664
BGM-0848;5;7;5;5;2;8;1;5;3;1;1;5;1;5;3;7;5;1;1;1;2;3;1;2;7;5;3;0;3;3;2;5;90;15.94;4.86;3.293399339;22.52;2.41;28.66666667;69.05666667;8.00030244853368;4.44220224932902;2.97468313380785;5.2043807942202;36.072434019664;20.8572454723542;22.6413698953716;48.0041518088359;1.96309697978278
BGM-0858;7;7;5;5;2;6;1;5;1;3;1;5;1;3;3;3;5;1;1;1;2;2;2;2;3;5;3;1;4;3;3;5;90;14.14;2.18;6.54465368;20.52;3.1;27.83333333;84.70666667;7.53939793661199;3.8241757324337;3.32376866481946;5.52685906827561;34.9108272110907;18.372123917692;16.3717315388326;53.24823073579;1.76548722171224
BGM-0859;5;7;5;5;3;9;3;7;4;1;1;5;1;5;3;7;5;1;2;1;3;1;2;2;7;3;3;0;4;3;2;5;110;14.54;3.98;3.655928597;19.18;2.18;21.20833333;54.58166667;3.52267266840103;4.92708892696352;3.43567327876145;5.25047575647708;36.7897941774509;16.8586928501046;20.0718140680291;46.4320061478375;2.02766707590541
BGM-0904;5;5;5;3;3;6;2;3;4;3;1;5;1;5;3;3;5;1;2;1;2;2;2;2;7;5;3;0;4;3;1;5;90;12.5;3.84;3.258163664;17.06;2.35665841452208;26.374466558463;58.7035885462208;6.18753892481935;4.03559442651072;3.78381251594639;5.40295331801074;33.3695589783271;16.7977465788534;18.2315688250436;49.910924529361;1.85892949549725
BGM-0913;5;7;5;3;3;5;4;3;4;1;1;5;1;2;3;7;5;1;1;1;2;2;1;2;7;5;3;0;4;3;2;5;90;15.92;4.4;3.634753609;20.34;2.666666667;28.85416667;43.24583333;6.18753892481935;3.91960283723817;3.58535701357019;5.696379248308;34.7129661257859;18.2836256752601;19.40686838698;48.5097303102082;1.98237720590519
BGM-0946;5;9;5;9;3;9;2;7;4;2;3;5;0;5;3;3;5;1;1;1;3;2;2;1;7;5;3;1;4;3;2;5;90;14;2.68;5.25816862;19.8;2.603333333;15.125;73.47333333;8.10298398978342;2.67158015858155;3.24241024995305;4.66670066358944;31.0213991236217;14.274343654506;15.5344999702862;43.2820587367065;1.89356829619591
BGM-0948;3;1;5;3;2;3;4;3;4;1;1;5;0;5;7;7;5;1;1;1;2;2;2;2;7;5;3;0;3;3;1;5;90;16.84;3.68;4.59929759;23.04;1.893333333;20.20833333;53.42166667;8.03181092769069;3.93314464452554;3.68666973376874;5.12594839378725;35.6931644906297;15.0920379985542;20.5837646503177;36.8249012546566;2.16845979478148
BGM-0949;5;3;5;3;3;9;3;3;4;2;3;5;0;5;1;3;5;1;1;1;2;2;2;2;7;5;3;0;3;3;2;5;90;10.54;3.14;3.40521268;17.64;2.726666667;20.66583333;56.32166667;8.10473086270483;3.17540123605762;3.4805511911926;5.29033084270436;36.1588933860076;15.1625981439195;20.6946289921926;37.7297615055605;2.00184552815996
BGM-0962;5;2;5;3;3;7;1;3;1;2;3;5;0;5;7;3;5;1;2;1;2;2;2;2;3;5;3;0;4;3;3;5;90;12.44;3.68;3.381592638;16.02;3.183333333;17.22916667;71.7225;8.10298398978342;4.14913977620989;3.3575750746556;5.64102474703321;33.2890896926007;18.6599569841167;23.7778608952792;40.2242570949262;2.07678457608999
