CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0439;5;7;5;5;3;9;3;5;3;3;1;5;1;5;7;7;5;1;2;1;2;2;2;3;7;5;3;0;3;3;1;5;110;11.12;3.02;3.708328338;18.98;2.64;22.5;55.06833333;4.33179695202126;3.72610527032917;3.58525953682647;5.37756770505683;35.7411611862689;16.6653505317044;15.4008846061084;44.7256285403324;2.16015791298467
BGM-0461;5;5;5;3;3;3;4;5;4;3;1;5;1;5;7;7;5;1;2;1;2;3;2;3;7;3;3;1;3;3;3;5;100;15.14;4.36;3.485716925;17.44;2.256666667;22.41666667;50.1475;3.15780861577895;3.15648979031203;3.90659592364337;3.86592514956516;34.2220618545977;9.57865395256695;18.6602136687769;27.028540197521;1.7822043303508
BGM-0476;5;7;5;5;3;7;1;5;3;1;1;5;1;5;3;3;3;1;1;1;2;0;1;3;7;5;3;0;3;3;1;3;70;18.06;4.72;3.842533787;25.74;1.166666667;19.77777778;42.63666667;5.24337607723627;3.79634914823542;3.30548213139955;5.11966980858541;33.4080232750672;11.469010116661;11.3355450448098;50.6412433133686;1.61753139798226
BGM-0500;5;5;5;5;2;5;3;5;4;1;1;5;1;5;1;7;5;1;3;1;3;1;2;2;7;5;3;0;3;5;1;5;90;11.16;3.5;3.188157914;12.22;2.683333333;32.8125;74.70583333;7.37932353279705;4.69432254345369;3.53140446963048;6.30022778372031;33.9027845585278;20.7941456382148;18.8184940295698;52.9877270773614;1.84893980531367
BGM-0510;5;1;5;3;3;3;3;3;4;4;1;5;1;5;3;3;5;1;2;1;2;3;2;2;7;5;3;0;3;3;1;3;90;10.72;3.72;2.881017871;12.48;2.536666667;26;55.39;3.88567711685818;4.05499309983947;4.17683371774054;5.32002175768179;32.6900236833954;18.8134615123815;23.5781556070396;42.6314018098662;1.94362914722891
BGM-0562;7;7;3;5;2;7;1;5;4;1;1;5;1;5;3;3;5;1;1;1;1;1;2;2;7;5;3;0;4;3;2;5;0;14.76;4.12;3.618189504;25.14;2.503333333;26;59.32666667;6.20771849935347;3.90200749302269;3.00258899517571;5.0025984091536;35.3533873247845;16.1746649967596;21.5364702363622;42.79907605021;2.17711960190622
BGM-0610;9;7;5;3;2;5;4;5;3;1;1;5;1;4;3;7;5;1;1;1;2;3;2;3;7;5;3;1;4;7;3;3;90;12.72;3.8;3.3624954;13.52;2.316666667;24.33333333;65.73666667;4.74087175197526;4.03559442651072;4.07847697440815;4.23233157617749;33.4500719597093;13.9334697290174;12.3820546007461;56.8901555347858;1.65185190076434
BGM-0613;7;3;5;3;3;6;4;3;4;2;1;5;1;5;7;7;5;1;1;1;3;2;1;2;7;5;3;0;4;5;2;5;90;13.48;3.64;3.710318563;18.32;3.29;27.33333333;65.54888889;8.00030244853368;4.34589843183021;3.73477817475681;6.09479145739433;35.0282096631287;19.895349407419;23.1639826011043;45.5372330258219;1.90081391533443
BGM-0623;7;3;5;3;3;9;3;5;4;4;1;3;1;5;7;3;5;1;1;1;2;2;2;3;7;3;3;1;4;7;2;5;110;16.28;4.54;3.585626478;26.72;1.796666667;38.66666667;74.47333333;3.59843129414722;3.4055638570987;4.35508372550945;3.85306869551031;35.7664455551717;8.66473325396205;17.2823377610914;32.0420046295001;1.61431297111843
BGM-0655;5;1;5;3;2;8;1;3;2;2;1;7;1;5;3;7;5;1;2;1;1;0;2;3;7;5;2;0;4;3;1;5;0;15.08;4.46;3.380726;22.22;1.856666667;31.11111111;52.79333333;5.28161220943229;3.27443764310343;3.22430683775521;5.33340993060395;35.2500945845725;15.9084950584741;22.4451582459823;39.6532040440277;1.65500663134251
