CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;HCNPic;NR;PA;DRY;DMCsg;PTR;PPA;IC;AP
BGM-0420;5;2;5;3;3;9;3;5;3;1;1;5;1;5;3;7;5;1;1;1;2;2;2;2;7;0;3;0;4;3;2;5;80;17.46;5.5;3.1748557;22.48;2.196666667;27.91583333;65.605;4.31931774808064;3.79954799664349;3.01821472281891;6.77469560251997;35.6174783946593;19.1405905487578;18.3648701943503;46.9634314367175;2.00640800465932
BGM-0439;5;7;5;5;3;9;3;5;3;3;1;5;1;5;7;7;5;1;2;1;2;2;2;3;7;5;3;0;3;3;1;5;110;11.12;3.02;3.708328338;18.98;2.64;22.5;55.06833333;4.33179695202126;3.72610527032917;3.58525953682647;5.37756770505683;35.7411611862689;16.6653505317044;15.4008846061084;44.7256285403324;2.16015791298467
BGM-0452;9;7;5;5;3;6;1;5;1;1;1;5;0;5;3;3;5;1;2;1;1;0;2;2;3;5;3;0;3;3;3;7;0;17.1;4.72;3.633403361;24.12;3.576666667;37.33333333;66.76333333;6.18753892481935;4.03559442651072;3.99730895064724;6.84857301574316;34.8042891406388;23.6623506604872;28.9441961469578;44.330102519772;1.94315933004351
BGM-0461;5;5;5;3;3;3;4;5;4;3;1;5;1;5;7;7;5;1;2;1;2;3;2;3;7;3;3;1;3;3;3;5;100;15.14;4.36;3.485716925;17.44;2.256666667;22.41666667;50.1475;3.15780861577895;3.15648979031203;3.90659592364337;3.86592514956516;34.2220618545977;9.57865395256695;18.6602136687769;27.028540197521;1.7822043303508
BGM-0476;5;7;5;5;3;7;1;5;3;1;1;5;1;5;3;3;3;1;1;1;2;0;1;3;7;5;3;0;3;3;1;3;70;18.06;4.72;3.842533787;25.74;1.166666667;19.77777778;42.63666667;5.24337607723627;3.79634914823542;3.30548213139955;5.11966980858541;33.4080232750672;11.469010116661;11.3355450448098;50.6412433133686;1.61753139798226
BGM-0500;5;5;5;5;2;5;3;5;4;1;1;5;1;5;1;7;5;1;3;1;3;1;2;2;7;5;3;0;3;5;1;5;90;11.16;3.5;3.188157914;12.22;2.683333333;32.8125;74.70583333;7.37932353279705;4.69432254345369;3.53140446963048;6.30022778372031;33.9027845585278;20.7941456382148;18.8184940295698;52.9877270773614;1.84893980531367
BGM-0587;7;3;5;3;2;4;1;5;3;2;1;3;1;4;3;3;5;1;2;2;3;1;2;2;7;3;3;1;4;3;2;7;80;17.16;4.6;3.731755243;20.9;1.703333333;32.66666667;39.81333333;7.76459832224918;5.49677356570187;4.0998958806228;5.56830728139409;36.4488753548108;16.1837224984165;24.9229329571979;34.8730860705633;2.14359988901127
BGM-0590;7;7;3;7;2;7;1;5;4;1;1;5;1;5;3;3;5;1;3;1;2;0;1;2;7;5;3;1;4;5;2;7;80;15.8;3.48;4.546289926;25.74;1.823333333;23.77777778;61.94666667;6.20771849935347;4.97212646688555;3.14746973229578;5.8453826390918;35.6782762473073;19.579285658995;23.3196806596905;42.4713406371017;2.14957634957794
BGM-0610;9;7;5;3;2;5;4;5;3;1;1;5;1;4;3;7;5;1;1;1;2;3;2;3;7;5;3;1;4;7;3;3;90;12.72;3.8;3.3624954;13.52;2.316666667;24.33333333;65.73666667;4.74087175197526;4.03559442651072;4.07847697440815;4.23233157617749;33.4500719597093;13.9334697290174;12.3820546007461;56.8901555347858;1.65185190076434
BGM-0613;7;3;5;3;3;6;4;3;4;2;1;5;1;5;7;7;5;1;1;1;3;2;1;2;7;5;3;0;4;5;2;5;90;13.48;3.64;3.710318563;18.32;3.29;27.33333333;65.54888889;8.00030244853368;4.34589843183021;3.73477817475681;6.09479145739433;35.0282096631287;19.895349407419;23.1639826011043;45.5372330258219;1.90081391533443
